"file name
 (type_block_filter_image_output_params)","h5 size
[KB]",blocks,image,output,params,"JeVois
Runtime
1344Hz [ms]","JeVois
Frames
1344Hz [fps]","JeVois
Runtime
408Hz [ms]","JeVois
Frames
408Hz [fps]","Sipeed
Runtime [ms]","Sipeed
Frames [fps]"
DepthwiseConv2D_5_x_224_18_2814.h5,46.256,5,224,18,2814,51,17.3,167,5.6,15.71,63
DepthwiseConv2D_1_x_64_34_104512.h5,434.104,1,64,34,104512,5,173.3,13,66.3,4.87,204
DepthwiseConv2D_2_x_64_34_26206.h5,124.528,2,64,34,26206,4,181.5,13,63,1.55,632
DepthwiseConv2D_3_x_64_34_6652.h5,50.016,3,64,34,6652,4,183.4,14,62.1,1.35,720
DepthwiseConv2D_4_x_64_34_1786.h5,38.576,4,64,34,1786,4,182.1,14,61.9,1.31,740
DepthwiseConv2D_1_x_96_34_235072.h5,956.344,1,96,34,235072,10,76.2,29,27.7,11.41,87
DepthwiseConv2D_2_x_96_34_58846.h5,255.088,2,96,34,58846,10,80.8,30,26.8,4.93,202
DepthwiseConv2D_3_x_96_34_14812.h5,82.656,3,96,34,14812,10,81.4,30,26.4,3.13,317
DepthwiseConv2D_4_x_96_34_3826.h5,46.736,4,96,34,3826,10,82,30,26.1,3.09,320
DepthwiseConv2D_1_x_128_34_417856.h5,1687.48,1,128,34,417856,19,47.9,52,18.1,20.15,49
DepthwiseConv2D_2_x_128_34_104542.h5,437.872,2,128,34,104542,17,53.5,53,17.7,3.37,117
DepthwiseConv2D_3_x_128_34_26236.h5,128.352,3,128,34,26236,17,53.9,54,17.4,5.04,197
DepthwiseConv2D_4_x_128_34_6682.h5,58.16,4,128,34,6682,17,54.1,54,17.3,4.88,203
DepthwiseConv2D_5_x_128_34_1816.h5,42.2,5,128,34,1816,17,54,54,17.4,4.84,205
DepthwiseConv2D_1_x_160_34_652864.h5,2627.512,1,160,34,652864,29,31.2,80,11.5,32.1,31
DepthwiseConv2D_2_x_160_34_163294.h5,672.88,2,160,34,163294,27,33.5,84,11.8,13.69,73
DepthwiseConv2D_3_x_160_34_40924.h5,187.104,3,160,34,40924,26,34,85,10.9,9.44,105
DepthwiseConv2D_4_x_160_34_10354.h5,72.848,4,160,34,10354,26,34.1,85,10.9,8.11,122
DepthwiseConv2D_5_x_160_34_2734.h5,45.872,5,160,34,2734,26,34,85,10.8,8.3,120
DepthwiseConv2D_2_x_192_34_235102.h5,960.112,2,192,34,235102,39,23.6,120,9.7,19.35,51
DepthwiseConv2D_3_x_192_34_58876.h5,258.912,3,192,34,58876,38,23.9,122,9.1,12.67,78
DepthwiseConv2D_4_x_192_34_14842.h5,90.8,4,192,34,14842,38,24,121,7.6,10.92,91
DepthwiseConv2D_5_x_192_34_3856.h5,50.36,5,192,34,3856,38,24.1,122,7.4,10.83,92
DepthwiseConv2D_2_x_224_34_319966.h5,1299.568,2,224,34,319966,52,17.1,163,5.7,27.37,36
DepthwiseConv2D_3_x_224_34_80092.h5,343.776,3,224,34,80092,52,17.4,166,5.6,18.14,55
DepthwiseConv2D_4_x_224_34_20146.h5,112.016,4,224,34,20146,52,17.5,166,5.5,15.97,62
DepthwiseConv2D_5_x_224_34_5182.h5,55.664,5,224,34,5182,53,17.5,166,5.6,15.94,63
DepthwiseConv2D_1_x_64_50_153680.h5,630.712,1,64,50,153680,5,156.2,14,61.8,6.59,150
DepthwiseConv2D_2_x_64_50_38510.h5,173.68,2,64,50,38510,5,177,14,62.3,1.62,610
DepthwiseConv2D_3_x_64_50_9740.h5,62.304,3,64,50,9740,4,181.5,14,61.9,1.39,700
DepthwiseConv2D_4_x_64_50_2570.h5,41.648,4,64,50,2570,5,183.3,14,62,1.34,720
DepthwiseConv2D_1_x_96_50_345680.h5,1398.712,1,96,50,345680,12,69.4,31,26.2,15.52,64
DepthwiseConv2D_2_x_96_50_86510.h5,365.68,2,96,50,86510,10,78.5,30,26.4,5.89,170
